text,label
milk,Food
dinner with friends,Entertainment
water bill,Bills
yoga class,Personal
flowers,Other
flowers,Other
car repair,Transport
personal trainer,Personal
plane ticket,Entertainment
kids games,Other
bread,Food
car repair,Transport
toothpaste,Personal
crochet supplies,Entertainment
gas bill,Bills
jewelry,Other
car,Shopping
shoes,Shopping
dentist visit,Other
chicken,Food
clothes,Shopping
snacks,Food
fast food,Food
restaurant meal,Food
milk,Food
taxiuber,Entertainment
doctor visit,Other
public transit,Transport
medicine,Other
fast food,Food
shoes,Shopping
public transit,Transport
vegetables,Food
kids games,Other
jewelry,Other
gas bill,Bills
car,Shopping
yoga class,Personal
gas,Transport
milk,Food
doctor visit,Other
gas,Transport
kids games,Other
plane ticket,Entertainment
streaming service,Bills
water bill,Bills
plane ticket,Entertainment
shampoo,Personal
jewelry,Other
public transit,Transport
dinner with friends,Entertainment
electricity bill,Bills
gas,Transport
skin care products,Personal
coffee,Food
art supplies,Entertainment
art supplies,Entertainment
clothes,Shopping
restaurant meal,Food
dentist visit,Other
kids games,Other
jewelry,Other
gas bill,Bills
car,Shopping
personal trainer,Personal
shoes,Shopping
shampoo,Personal
coffee,Food
skin care products,Personal
dinner with friends,Entertainment
streaming service,Bills
flowers,Other
personal trainer,Personal
personal trainer,Personal
dentist visit,Other
restaurant meal,Food
coffee,Food
snacks,Food
streaming service,Bills
magazine,Bills
bread,Food
doctor visit,Other
car,Shopping
fast food,Food
movie tickets,Entertainment
jewelry,Other
car repair,Transport
dentist visit,Other
coffee,Food
restaurant meal,Food
personal trainer,Personal
toothpaste,Personal
movie tickets,Entertainment
crochet supplies,Entertainment
workout equipment,Personal
medicine,Other
fast food,Food
streaming service,Bills
public transit,Transport
meat,Food
car,Shopping
restaurant meal,Food
clothes,Shopping
public transit,Transport
plane ticket,Entertainment
rent,Bills
car repair,Transport
concert tickets,Entertainment
gift cards,Other
shampoo,Personal
coffee,Food
jewelry,Other
coffee,Food
workout equipment,Personal
workout equipment,Personal
gas bill,Bills
workout equipment,Personal
gift cards,Other
gift cards,Other
milk,Food
hotel stay,Entertainment
dinner with friends,Entertainment
dentist visit,Other
hotel stay,Entertainment
shoes,Shopping
soap,Personal
books,Entertainment
taxiuber,Entertainment
electronics,Shopping
gift cards,Other
car,Shopping
dinner with friends,Entertainment
car,Shopping
dentist visit,Other
gas,Transport
gas,Transport
clothes,Shopping
kids games,Other
shampoo,Personal
dentist visit,Other
streaming service,Bills
rent,Bills
dinner with friends,Entertainment
magazine,Bills
movie tickets,Entertainment
restaurant meal,Food
gas bill,Bills
public transit,Transport
flowers,Other
shoes,Shopping
concert tickets,Entertainment
plane ticket,Entertainment
toothpaste,Personal
streaming service,Bills
gift cards,Other
fruits,Food
restaurant meal,Food
electricity bill,Bills
public transit,Transport
gas,Transport
electronics,Shopping
flowers,Other
shoes,Shopping
clothes,Shopping
movie tickets,Entertainment
doctor visit,Other
dentist visit,Other
magazine,Bills
gym membership,Bills
soap,Personal
toothpaste,Personal
rent,Bills
chicken,Food
gift cards,Other
flowers,Other
workout equipment,Personal
shoes,Shopping
shampoo,Personal
flowers,Other
bread,Food
hotel stay,Entertainment
kids games,Other
streaming service,Bills
books,Entertainment
gym membership,Bills
taxiuber,Entertainment
video games,Entertainment
gas,Transport
water bill,Bills
car repair,Transport
restaurant meal,Food
coffee,Food
concert tickets,Entertainment
crochet supplies,Entertainment
snacks,Food
magazine,Bills
plane ticket,Entertainment
car repair,Transport
restaurant meal,Food
bread,Food
shoes,Shopping
clothes,Shopping
dentist visit,Other
restaurant meal,Food
hotel stay,Entertainment
electricity bill,Bills
flowers,Other
snacks,Food
restaurant meal,Food
art supplies,Entertainment
skin care products,Personal
taxiuber,Entertainment
shampoo,Personal
bread,Food
dentist visit,Other
chicken,Food
milk,Food
flowers,Other
dentist visit,Other
meat,Food
soap,Personal
electronics,Shopping
vegetables,Food
clothes,Shopping
art supplies,Entertainment
chicken,Food
electricity bill,Bills
electronics,Shopping
crochet supplies,Entertainment
plane ticket,Entertainment
gas bill,Bills
coffee,Food
car repair,Transport
flowers,Other
video games,Entertainment
gym membership,Bills
video games,Entertainment
gas,Transport
dentist visit,Other
art supplies,Entertainment
yoga class,Personal
doctor visit,Other
vegetables,Food
gym membership,Bills
public transit,Transport
books,Entertainment
doctor visit,Other
hotel stay,Entertainment
skin care products,Personal
gas,Transport
coffee,Food
gift cards,Other
car repair,Transport
water bill,Bills
medicine,Other
water bill,Bills
coffee,Food
kids games,Other
medicine,Other
rent,Bills
electronics,Shopping
fruits,Food
shampoo,Personal
yoga class,Personal
car repair,Transport
toothpaste,Personal
electricity bill,Bills
yoga class,Personal
restaurant meal,Food
electricity bill,Bills
toothpaste,Personal
workout equipment,Personal
video games,Entertainment
car repair,Transport
electronics,Shopping
